,price,load_actual,Solar,Wind_Onshore,Wind_Offshore,residual_load,re_penetration,wind_share,solar_share,hour_cos,solar_peak_impact,price_lag_24h,price_lag_168h,hour_sin,is_weekend
2025-01-08 01:00:00+01:00,68.01,51558.61,7.55,32295.73,4093.51,15161.82,0.7059303964943974,0.7057839612045398,0.0001464352898575039,0.9659258262890683,7.292739988482466,8.71,1.6,0.25881904510252074,0
2025-01-08 02:00:00+01:00,63.34,50025.3,7.47,31096.83,3762.72,15158.279999999999,0.696987724211549,0.6968383997697165,0.00014932444183243278,0.8660254037844387,6.469209766269757,8.9,0.0,0.49999999999999994,0
2025-01-08 03:00:00+01:00,57.01,50653.45,7.46,29789.99,3831.39,17024.609999999993,0.6639002871472724,0.6637530118876406,0.00014727525963187109,0.7071067811865476,5.275016587651645,5.01,-0.01,0.7071067811865476,0
2025-01-08 04:00:00+01:00,66.29,51774.74,7.39,29436.48,3713.94,18616.93,0.6404244618128454,0.6402817281168385,0.00014273369600697173,0.5000000000000001,3.6950000000000007,5.13,-0.01,0.8660254037844386,0
2025-01-08 05:00:00+01:00,72.07,54156.98,7.19,29689.66,3789.1,20671.030000000006,0.6183127271867818,0.6181799649832764,0.0001327622035054392,0.25881904510252074,1.8609089342871241,5.8,-0.06,0.9659258262890683,0
2025-01-08 06:00:00+01:00,82.7,60574.65,9.12,30776.29,3920.04,25869.200000000004,0.5729368638531134,0.5727863058226502,0.00015055803046323831,6.123233995736766e-17,5.58438940411193e-16,48.86,-0.09,1.0,0
2025-01-08 07:00:00+01:00,100.73,67864.14,10.86,30457.18,4453.53,32942.57,0.5145806017728951,0.5144205761687984,0.00016002560409665546,-0.25881904510252063,-2.810774829813374,76.83,-0.01,0.9659258262890683,0
2025-01-08 08:00:00+01:00,128.22,71459.91,21.28,29927.5,5147.83,36363.3,0.4911370585269419,0.49083926917904036,0.0002977893479015017,-0.4999999999999998,-10.639999999999995,85.08,-0.01,0.8660254037844387,0
2025-01-08 09:00:00+01:00,108.18,72501.8,1217.3,28507.2,4759.42,38017.880000000005,0.47562846715529816,0.45883853918109624,0.016789927974202017,-0.7071067811865475,-860.7610847383842,84.24,-0.04,0.7071067811865476,0
2025-01-08 10:00:00+01:00,94.65,72431.15,3861.1,25803.43,4162.33,38604.28999999999,0.4670208881123661,0.41371371295361187,0.053307175158754216,-0.8660254037844387,-3343.8106865520963,75.25,-0.03,0.49999999999999994,0
2025-01-08 11:00:00+01:00,100.01,71634.73,6583.06,24869.62,2756.83,37425.219999999994,0.47755481175122744,0.38565720845182216,0.0918976032994052,-0.9659258262890682,-6358.7476700105135,62.8,-0.1,0.258819045102521,0
2025-01-08 12:00:00+01:00,89.99,71967.09,7516.0,23675.44,2405.84,38369.81,0.46684227471195516,0.3624056495823299,0.10443662512962523,-1.0,-7516.0,62.44,-0.05,1.2246467991473532e-16,0
2025-01-08 13:00:00+01:00,97.2,72649.99,6667.24,22605.71,2695.88,40681.16,0.4400390144582263,0.3482669440147204,0.0917720704435059,-0.9659258262890683,-6440.059306067527,63.9,-0.1,-0.2588190451025208,0
2025-01-08 14:00:00+01:00,110.19,71558.68,4648.05,20391.26,3973.55,42545.81999999999,0.40544152016219415,0.340487135872266,0.06495438428992822,-0.8660254037844388,-4025.329378060261,72.56,-1.01,-0.4999999999999997,0
2025-01-08 15:00:00+01:00,127.8,70577.88,2013.41,17533.24,5251.33,45779.9,0.3513562606301011,0.3228287673134982,0.028527493316602877,-0.7071067811865479,-1423.6958643088076,78.11,-0.01,-0.7071067811865471,0
2025-01-08 16:00:00+01:00,135.82,71302.38,198.09,18620.37,5333.29,47150.630000000005,0.33872291499947127,0.3359447468653921,0.0027781681340791147,-0.5000000000000004,-99.04500000000009,79.98,-0.01,-0.8660254037844385,0
