,price,load_actual,Solar,Wind_Onshore,Wind_Offshore
2025-01-01 01:00:00+01:00,1.6,47667.03,9.93,33260.24,2252.6
2025-01-01 02:00:00+01:00,0.0,46687.66,9.34,33789.14,2676.36
2025-01-01 03:00:00+01:00,-0.01,45329.16,9.98,32742.62,1805.15
2025-01-01 04:00:00+01:00,-0.01,44161.59,9.38,33096.77,1424.04
2025-01-01 05:00:00+01:00,-0.06,44416.46,9.71,33485.5,1267.05
2025-01-01 06:00:00+01:00,-0.09,43836.8,10.4,35503.19,935.15
2025-01-01 07:00:00+01:00,-0.01,43645.45,10.82,36016.31,1257.48
2025-01-01 08:00:00+01:00,-0.01,45529.98,43.57,35908.17,2305.84
2025-01-01 09:00:00+01:00,-0.04,47350.81,2614.39,34742.44,2238.3
2025-01-01 10:00:00+01:00,-0.03,49838.42,6482.03,35790.21,2169.55
2025-01-01 11:00:00+01:00,-0.1,51941.84,10198.45,36385.72,1840.32
2025-01-01 12:00:00+01:00,-0.05,53587.95,12104.7,36265.79,2034.11
2025-01-01 13:00:00+01:00,-0.1,53331.12,11644.95,37534.27,2299.37
2025-01-01 14:00:00+01:00,-1.01,51544.53,8535.2,37969.29,3002.83
2025-01-01 15:00:00+01:00,-0.01,52151.92,4366.45,40053.0,4450.43
2025-01-01 16:00:00+01:00,-0.01,53307.96,570.37,41452.02,4611.18
2025-01-01 17:00:00+01:00,0.07,55625.1,21.69,43032.75,4499.46
2025-01-01 18:00:00+01:00,1.01,57033.78,15.5,44483.96,4049.96
2025-01-01 19:00:00+01:00,1.48,55985.21,13.45,43807.68,3548.24
2025-01-01 20:00:00+01:00,1.0,53754.08,13.56,43192.73,3974.95
2025-01-01 21:00:00+01:00,0.07,52034.79,11.55,42248.71,4055.66
2025-01-01 22:00:00+01:00,10.05,49945.39,10.2,39706.19,3986.15
2025-01-01 23:00:00+01:00,7.01,47561.74,9.61,40133.03,3977.54
2025-01-02 00:00:00+01:00,2.55,45318.29,9.77,38858.59,4196.86
2025-01-02 01:00:00+01:00,1.56,42758.12,6.69,36677.76,4597.0
2025-01-02 02:00:00+01:00,3.45,41688.94,6.63,34502.51,5110.91
2025-01-02 03:00:00+01:00,7.02,41402.3,6.28,33670.37,5615.2
2025-01-02 04:00:00+01:00,12.75,42486.6,6.27,31157.97,4998.91
2025-01-02 05:00:00+01:00,30.07,43210.2,5.89,30215.3,4589.44
2025-01-02 06:00:00+01:00,67.13,48338.78,5.49,29612.41,5474.83
2025-01-02 07:00:00+01:00,98.83,52832.78,6.92,25882.88,5971.35
2025-01-02 08:00:00+01:00,121.53,56840.29,14.43,23353.77,5843.72
2025-01-02 09:00:00+01:00,127.23,59373.98,924.58,20141.17,5997.39
2025-01-02 10:00:00+01:00,126.35,60149.82,3029.41,16224.2,5761.68
2025-01-02 11:00:00+01:00,119.97,61001.9,5571.52,13646.07,4874.77
2025-01-02 12:00:00+01:00,115.95,62352.51,6713.7,11849.74,5140.93
2025-01-02 13:00:00+01:00,113.9,62427.13,6534.53,11844.56,5580.66
2025-01-02 14:00:00+01:00,122.21,61142.78,4545.36,11723.01,4965.86
2025-01-02 15:00:00+01:00,130.11,60192.98,1915.95,11249.74,4956.98
2025-01-02 16:00:00+01:00,138.59,60570.44,134.26,12543.51,5407.89
2025-01-02 17:00:00+01:00,152.87,62598.73,18.46,13973.74,5804.85
2025-01-02 18:00:00+01:00,152.94,64046.77,36.42,15465.44,5923.53
2025-01-02 19:00:00+01:00,139.15,63196.57,36.16,17097.93,5973.97
2025-01-02 20:00:00+01:00,130.0,60694.75,11.51,18930.33,5881.56
2025-01-02 21:00:00+01:00,119.78,57536.29,6.06,18869.64,5679.75
2025-01-02 22:00:00+01:00,113.42,55782.13,13.17,18257.0,6289.59
2025-01-02 23:00:00+01:00,82.47,52885.92,8.02,18493.94,6177.77
2025-01-03 00:00:00+01:00,99.56,49020.22,6.99,19007.32,6173.39
2025-01-03 01:00:00+01:00,87.53,46708.82,7.4,19308.68,6088.9
2025-01-03 02:00:00+01:00,85.01,45874.32,6.34,19825.66,6096.87
2025-01-03 03:00:00+01:00,83.79,46468.07,8.71,20548.69,5963.43
2025-01-03 04:00:00+01:00,77.5,47150.03,7.45,22287.51,5296.46
2025-01-03 05:00:00+01:00,79.88,48573.41,7.74,24352.35,4450.83
2025-01-03 06:00:00+01:00,83.56,52034.9,14.7,28142.28,3012.27
2025-01-03 07:00:00+01:00,78.43,55357.96,17.75,30507.85,1610.96
2025-01-03 08:00:00+01:00,82.57,59204.41,22.61,32796.66,1679.48
2025-01-03 09:00:00+01:00,80.76,60929.24,841.59,33741.17,1978.54
2025-01-03 10:00:00+01:00,77.64,62018.01,3154.23,34285.27,1483.21
2025-01-03 11:00:00+01:00,70.48,63006.63,5716.48,35635.65,1105.55
2025-01-03 12:00:00+01:00,69.94,64550.14,6707.92,36187.85,952.57
2025-01-03 13:00:00+01:00,77.8,63504.9,6289.24,35178.11,1360.77
2025-01-03 14:00:00+01:00,78.81,63349.95,4879.57,33909.37,3055.22
2025-01-03 15:00:00+01:00,85.29,62906.79,2505.95,32328.56,3856.94
2025-01-03 16:00:00+01:00,105.51,63121.89,333.4,31173.86,4526.24
2025-01-03 17:00:00+01:00,116.66,65772.71,11.02,30079.38,5256.66
2025-01-03 18:00:00+01:00,115.06,65590.94,13.02,28046.24,4894.32
2025-01-03 19:00:00+01:00,114.91,64470.15,9.53,27483.37,5488.34
2025-01-03 20:00:00+01:00,113.3,61733.71,7.81,26848.86,6578.24
2025-01-03 21:00:00+01:00,107.8,59430.15,6.83,26329.57,6441.65
2025-01-03 22:00:00+01:00,98.22,57053.99,7.95,25402.54,5286.46
2025-01-03 23:00:00+01:00,88.57,54468.87,11.82,24170.07,4436.76
2025-01-04 00:00:00+01:00,90.43,51395.6,7.81,23131.66,3592.87
2025-01-04 01:00:00+01:00,90.29,49627.25,7.73,21574.17,3969.51
2025-01-04 02:00:00+01:00,90.2,47196.17,7.51,19597.36,2874.05
2025-01-04 03:00:00+01:00,91.52,46008.65,7.35,16350.69,2614.47
2025-01-04 04:00:00+01:00,95.95,45184.95,6.28,14603.97,1619.77
2025-01-04 05:00:00+01:00,102.11,44780.79,6.53,12114.0,1343.55
2025-01-04 06:00:00+01:00,110.66,44975.06,6.21,10367.03,1290.11
2025-01-04 07:00:00+01:00,119.96,46664.54,7.49,9300.02,1071.81
2025-01-04 08:00:00+01:00,128.39,49892.42,17.32,8801.22,1405.41
2025-01-04 09:00:00+01:00,130.75,53121.46,1219.52,7882.93,2357.54
2025-01-04 10:00:00+01:00,130.34,55173.14,3326.14,7234.05,2404.62
2025-01-04 11:00:00+01:00,128.29,57638.93,4987.57,7474.29,3172.54
2025-01-04 12:00:00+01:00,130.03,58904.16,5999.42,7205.16,2435.55
2025-01-04 13:00:00+01:00,129.85,58305.14,5569.76,7312.63,2644.24
2025-01-04 14:00:00+01:00,136.4,56990.45,4217.89,7623.27,2674.83
2025-01-04 15:00:00+01:00,138.72,56799.1,1969.07,7281.14,2594.38
2025-01-04 16:00:00+01:00,142.0,57951.23,214.88,7862.57,3070.92
2025-01-04 17:00:00+01:00,151.24,60735.93,15.48,8822.63,2699.56
2025-01-04 18:00:00+01:00,143.85,61516.59,19.1,9302.61,2543.91
2025-01-04 19:00:00+01:00,137.96,60310.31,8.85,10455.19,2282.38
2025-01-04 20:00:00+01:00,129.49,57573.44,8.83,10690.35,1985.27
2025-01-04 21:00:00+01:00,122.83,54365.79,8.31,10596.01,2081.89
2025-01-04 22:00:00+01:00,118.29,53891.12,6.4,10125.22,2447.38
2025-01-04 23:00:00+01:00,109.49,50738.66,6.7,9680.14,2419.11
2025-01-05 00:00:00+01:00,113.84,48320.21,13.61,8743.32,2205.45
2025-01-05 01:00:00+01:00,100.33,45019.09,6.9,8728.02,1931.71
2025-01-05 02:00:00+01:00,93.61,43599.77,8.61,8643.39,1793.82
2025-01-05 03:00:00+01:00,93.87,42460.6,6.19,8082.22,1229.2
2025-01-05 04:00:00+01:00,89.38,42119.62,6.87,7926.25,1008.22
2025-01-05 05:00:00+01:00,83.55,42267.4,6.17,9115.3,1089.38
2025-01-05 06:00:00+01:00,83.92,43605.83,5.73,10659.2,1863.86
2025-01-05 07:00:00+01:00,82.53,44735.36,6.36,11816.91,3101.11
2025-01-05 08:00:00+01:00,84.05,46572.86,9.63,14537.69,4231.34
2025-01-05 09:00:00+01:00,89.15,51085.72,164.8,17171.52,5389.04
2025-01-05 10:00:00+01:00,82.95,53815.8,707.04,19783.56,5845.44
2025-01-05 11:00:00+01:00,88.82,57038.1,1336.19,21917.95,6169.19
2025-01-05 12:00:00+01:00,81.66,58717.67,1917.15,23484.93,6207.93
2025-01-05 13:00:00+01:00,78.39,57309.31,2091.43,23808.23,6255.75
2025-01-05 14:00:00+01:00,68.0,55780.5,1702.02,25750.23,5790.71
2025-01-05 15:00:00+01:00,50.64,55882.99,867.39,27647.98,5053.95
2025-01-05 16:00:00+01:00,49.91,57430.48,173.34,30028.51,5475.98
2025-01-05 17:00:00+01:00,66.3,59913.74,14.89,31504.75,6166.3
2025-01-05 18:00:00+01:00,65.05,61069.9,12.33,31891.88,6173.71
2025-01-05 19:00:00+01:00,51.28,59652.66,9.76,31346.72,6468.81
2025-01-05 20:00:00+01:00,36.85,57523.39,12.33,30645.33,6091.37
2025-01-05 21:00:00+01:00,36.8,54453.11,6.22,30484.3,5708.22
2025-01-05 22:00:00+01:00,34.68,52360.0,6.1,28360.9,5405.79
2025-01-05 23:00:00+01:00,28.14,49688.39,7.12,28285.44,5220.66
2025-01-06 00:00:00+01:00,27.52,46988.95,6.14,28268.54,6282.81
