,price,load_actual,Solar,Wind_Onshore,Wind_Offshore,residual_load,re_penetration,wind_share,solar_share,hour_cos,solar_peak_impact,price_lag_24h,price_lag_168h,hour_sin,is_weekend,pred_baseline,pred_xgboost
2025-12-25 21:00:00+01:00,89.71,51071.29758,15.395524,16292.294768,1970.276,32793.331288,0.3578911670174173,0.3575897154246536,0.0003014515927637,0.7071067811865474,10.886279420320236,71.13,60.02,-0.7071067811865477,0,60.02,102.55604
2025-12-25 22:00:00+01:00,97.65,50448.93588,29.104444,14671.891236,1739.153,34008.7872,0.3258770159018862,0.3253001069246735,0.0005769089772127,0.8660254037844384,25.20518786702157,71.81,61.73,-0.5000000000000004,0,61.73,98.0443
2025-12-25 23:00:00+01:00,95.85,48480.39104,16.371596,13804.709812,1752.263,32907.046632,0.3212297606087956,0.3208920653953537,0.0003376952134419,0.965925826289068,15.813747393970802,70.3,32.0,-0.2588190451025215,0,32.0,96.50984
2025-12-26 00:00:00+01:00,106.45,46474.11903,11.84266,12789.201248,1648.055,32025.020122,0.3109063541080318,0.3106515314186042,0.0002548226894275,1.0,11.84266,66.14,12.77,0.0,0,12.77,93.228195
2025-12-26 01:00:00+01:00,95.66,44701.67368,9.755956,12250.061536,1716.489,30725.367188,0.3126573423637412,0.3124390964861966,0.0002182458775445,0.9659258262890684,9.423529860539793,60.03,8.1,0.2588190451025207,0,8.1,91.3616
2025-12-26 02:00:00+01:00,90.74,43385.46553,8.640372,11693.605044,1570.029,30113.191114,0.3059152242315469,0.305716070623433,0.0001991536081138,0.8660254037844387,7.482781650147758,57.86,4.35,0.4999999999999999,0,4.35,89.7618
2025-12-26 03:00:00+01:00,85.0,42843.50811,9.837536,11556.720952,1361.991,29914.95862200001,0.3017621585703524,0.3015325430128508,0.0002296155575015,0.7071067811865476,6.956188415766785,56.94,3.69,0.7071067811865476,0,3.69,89.44433
2025-12-26 04:00:00+01:00,80.26,42587.40861,8.411108,11547.619276,1338.485,29692.893226,0.3027776473108116,0.3025801450848127,0.0001975022259989,0.5000000000000001,4.205554000000001,54.67,3.4,0.8660254037844386,0,3.4,88.336914
2025-12-26 05:00:00+01:00,81.04,43696.21219,9.523044,11773.169272,1809.165,30104.354874,0.3110534445617355,0.3108355070444379,0.0002179375172976,0.2588190451025207,2.4647451545492896,53.89,4.64,0.9659258262890684,0,4.64,87.98548
2025-12-26 06:00:00+01:00,80.38,43424.02523,10.479816,12202.184208,1851.207,29360.154206,0.3238730391645915,0.3236317023482901,0.0002413368163014,6.123233995736766e-17,6.417036560026609e-16,47.49,15.0,1.0,0,15.0,87.57323
2025-12-26 07:00:00+01:00,86.82,44411.95001,13.347856,12163.733024,1367.61,30867.25913,0.3049785221533892,0.3046779756563992,0.0003005464969899,-0.2588190451025206,-3.4546793440859505,46.55,53.75,0.9659258262890684,0,53.75,90.55222
2025-12-26 08:00:00+01:00,94.74,46767.01866,43.80348,12196.730856,1214.718,33311.766324,0.2877081482106176,0.2867715163436505,0.000936631866967,-0.4999999999999998,-21.90173999999999,64.0,87.59,0.8660254037844387,0,87.59,92.12058
2025-12-26 09:00:00+01:00,103.68,50019.92622,2496.79434,11899.779204,956.241,34667.111676,0.3069339702036849,0.2570179761452675,0.0499159940584174,-0.7071067811865475,-1765.50020904219,67.6,92.81,0.7071067811865476,0,92.81,98.154755
